dt_iso,dt,lat,lon,temp,dew_point,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2018-02-05,1517830200.0,-14.599413,-28.673147,298.5879166666667,293.39958333333334,298.5258333333333,298.6504166666667,1012.875,73.16666666666667,7.5441666666666665,96.54166666666667,,,46.125,802.1666666666666,Clouds,few clouds,04d
2018-02-06,1517916600.0,-14.599413,-28.673147,298.73291666666665,292.9170833333333,298.6970833333333,298.7654166666667,1013.3333333333334,70.29166666666667,6.017083333333333,90.08333333333333,,,15.0,800.9166666666666,Clouds,sky is clear,01d
2018-02-07,1518003000.0,-14.599413,-28.673147,298.80875,294.10541666666666,298.7625,298.8525,1013.4583333333334,75.29166666666667,5.615416666666667,89.25,,,34.791666666666664,801.75,Clouds,scattered clouds,03d
2018-02-08,1518089400.0,-14.599413,-28.673147,298.56916666666666,294.7583333333333,298.52875,298.60625,1014.2916666666666,79.5,5.97625,95.54166666666667,,,22.458333333333332,801.25,Clouds,few clouds,02d
2018-02-09,1518175800.0,-14.599413,-28.673147,298.7275,293.82,298.6766666666667,298.77125,1014.4583333333334,74.45833333333333,6.87125,111.95833333333333,,,29.916666666666668,801.7083333333334,Clouds,scattered clouds,02d
2018-02-10,1518262200.0,-14.599413,-28.673147,298.53333333333336,294.0825,298.41416666666663,298.6566666666667,1013.375,76.45833333333333,7.49625,111.70833333333333,0.2025,,91.375,753.25,Clouds,overcast clouds,04d
2018-02-11,1518348600.0,-14.599413,-28.673147,298.8016666666667,293.46958333333333,298.7029166666667,298.9108333333333,1012.7083333333334,72.45833333333333,7.801666666666667,104.45833333333333,,,62.625,802.7916666666666,Clouds,overcast clouds,04d
2018-02-12,1518435000.0,-14.599413,-28.673147,298.8308333333333,294.53875,298.7083333333333,298.9475,1013.0416666666666,77.20833333333333,6.951250000000001,99.75,,,51.875,802.5416666666666,Clouds,scattered clouds,03n
2018-02-13,1518521400.0,-14.599413,-28.673147,298.7366666666667,295.27125,298.67,298.79791666666665,1013.75,81.20833333333333,7.490833333333334,97.33333333333333,0.12,,83.54166666666667,778.3333333333334,Clouds,overcast clouds,04d
2018-02-14,1518607800.0,-14.599413,-28.673147,298.70125,295.32458333333335,298.61083333333335,298.785,1014.4166666666666,81.66666666666667,8.11375,99.41666666666667,0.13,,80.58333333333333,790.875,Clouds,overcast clouds,04d
2018-02-15,1518694200.0,-14.599413,-28.673147,298.63124999999997,294.83166666666665,298.58875,298.67041666666665,1015.75,79.54166666666667,7.577916666666667,101.83333333333333,,,33.833333333333336,801.5416666666666,Clouds,few clouds,04d
2018-02-16,1518780600.0,-14.599413,-28.673147,298.36333333333334,295.0108333333333,298.30333333333334,298.4191666666667,1015.7916666666666,81.75,7.590833333333333,103.04166666666667,0.15000000000000002,,37.666666666666664,751.625,Clouds,scattered clouds,03d
2018-02-17,1518867000.0,-14.599413,-28.673147,298.39708333333334,293.99708333333336,298.36375,298.42541666666665,1014.5416666666666,76.70833333333333,6.87625,100.875,,,58.375,802.5416666666666,Clouds,overcast clouds,04n
2018-02-18,1518953400.0,-14.599413,-28.673147,298.8391666666667,292.8491666666667,298.7966666666667,298.87791666666664,1013.375,69.54166666666667,5.02875,100.29166666666667,,,22.791666666666668,801.0833333333334,Clouds,few clouds,01d
2018-02-19,1519039800.0,-14.599413,-28.673147,299.01916666666665,293.2054166666667,298.9525,299.0708333333333,1012.125,70.33333333333333,4.788333333333333,93.41666666666667,,,34.25,801.875,Clouds,scattered clouds,03d
2018-02-20,1519126200.0,-14.599413,-28.673147,298.48583333333335,294.82125,298.27416666666664,298.7004166666667,1012.5,80.25,5.05,88.5,0.158,,28.875,738.6666666666666,Clouds,few clouds,02d
2018-02-21,1519212600.0,-14.599413,-28.673147,298.98,294.4166666666667,298.89166666666665,299.06541666666664,1013.0833333333334,75.95833333333333,5.4558333333333335,82.70833333333333,,,21.625,801.3333333333334,Clouds,few clouds,02d
2018-02-22,1519299000.0,-14.599413,-28.673147,298.88875,294.2575,298.79625,298.97291666666666,1012.875,75.79166666666667,7.1625000000000005,88.875,0.12,,26.125,751.2083333333334,Clouds,scattered clouds,03n
2018-02-23,1519385400.0,-14.599413,-28.673147,298.67583333333334,293.62875,298.52000000000004,298.8304166666667,1013.25,73.70833333333333,5.957916666666667,97.04166666666667,,,13.916666666666666,800.6666666666666,Clear,sky is clear,01d
2018-02-24,1519471800.0,-14.599413,-28.673147,298.74083333333334,294.05041666666665,298.65708333333333,298.82041666666663,1012.6666666666666,75.33333333333333,6.145833333333333,96.125,0.1,,28.916666666666668,789.0,Clouds,few clouds,02d
2018-02-25,1519558200.0,-14.599413,-28.673147,298.77708333333334,294.27,298.7025,298.8483333333333,1013.625,76.20833333333333,6.33625,90.54166666666667,0.2,,20.458333333333332,788.375,Clouds,few clouds,01d
